League Name,,defense,possession,creativity,progression,crossing,explosive,attacking,setpiece,gkbuildup,excitement,Cluster,x,y,Distance to 1.Div
Chilean Primera B,Chilean Primera B,0.643757516,-0.820229914,-0.210937676,-0.11138486,1.321517024,-0.116516853,-0.368110555,0.502294722,-0.390244181,-0.208600001,11,-7.2301106,-5.032895,15.92009291
Chilean Primera Division,Chilean Primera División,0.301524078,-0.068877021,0.238629066,-0.134412379,1.017819409,-0.216662151,-0.037372627,-0.253876255,-0.266123476,0.051159027,1,-4.8969975,0.6086999,10.17346293
Chilean Primera División,Chilean Primera División,0.333469088,-0.045194295,0.391538574,-0.056852878,1.016790122,0.000796421,-0.064750496,-0.287388605,-0.275937956,0.135935307,1,-5.0481653,0.64278257,10.13412245
China League One,China League One,-0.182119982,-0.152521154,-0.755860304,-1.644623842,-0.882510852,-0.572299054,-1.308395853,0.10418766,-1.018789546,-1.04194857,12,1.664386,-14.554302,26.27465956
China League Two,China League Two,-0.239194558,-0.495180155,-1.362340618,-1.438172967,-1.678079265,-0.914185075,-1.74568102,-0.304908937,-0.725261688,-1.360298247,16,2.2881866,-15.892176,27.73137393
Chinese Super League,Chinese Super League,-0.293852001,0.569697036,0.483389351,-0.878765866,0.382196911,-0.107590034,0.035515972,-0.288169272,-1.130688919,-0.0572799,1,-0.38502747,-3.6136153,15.21189025
Colombian Primera A,Colombian Primera A,0.086372229,0.239469099,-0.416586515,-1.166577105,-1.157725598,-0.605892231,-1.267594916,-0.314167449,-0.637776921,-0.781987378,12,2.5870466,-13.816565,25.83186251
Colombian Torneo BetPlay,Colombian Primera B,0.438560461,-0.126146182,-0.641567975,-1.054478427,-1.65940007,-0.175062505,-1.32396255,0.082758714,-0.293780187,-0.800282264,16,2.938853,-13.245858,25.4015009
Costa Rican Primera Division,Costa Rican Primera División,0.37170836,-0.71653425,-0.438390492,-0.585692931,-0.188005955,-0.423627333,-0.634156932,0.693996423,-0.736014677,-0.548043528,10,-3.7369435,-9.9920845,20.82595171
Costa Rican Primera División,Costa Rican Primera División,0.37170836,-0.71653425,-0.438390492,-0.585692931,-0.188005955,-0.423627333,-0.634156932,0.693996423,-0.736014677,-0.548043528,10,-3.7369435,-9.9920845,20.82595171
Cyprus 1. Division,Cyprus 1. Division,-0.028008817,0.539928918,-0.000148824,-0.580170226,0.107488895,-0.261219023,-0.358093369,-0.400716233,-0.149828976,-0.135213849,8,4.5714607,-1.9298853,16.10429869
Cyprus 2. Division,Cyprus 2. Division,-0.089760429,-0.452187364,-0.72902895,-0.292728632,-1.175973054,-0.13039803,-0.77592952,-0.226130641,0.054183304,-0.592322664,3,5.125854,-10.551522,23.74877535
Czech 1. Liga U19,,-0.200865496,-1.116999608,0.666845202,0.367144073,0.68689143,0.948514934,1.507062928,1.304704253,0.993179292,0.799276219,4,-0.5541735,16.926622,7.787689628
Czech FNL,Czech FNL,0.150220417,-0.607241772,0.035409489,0.039287425,1.742578819,-0.175522654,0.487620038,0.492992253,0.453659087,0.150097842,6,-4.6224585,4.39657,6.415319311
Czech Fortuna Liga,Czech Fortuna Liga,0.206605331,-0.602046879,0.448949639,-0.228924833,1.942260402,-0.429971435,0.602664405,0.212134284,0.041457457,0.239268774,6,-4.820444,3.8842556,6.907421193
Czech U17 League,,-0.589843103,-0.83088542,1.329152472,0.568116669,0.17492605,1.851320802,2.114575401,1.060525741,1.206244197,1.364027034,4,0.29898465,17.27978,8.601822661
Danish 1. Division,Danish 1. Division,-0.28157809,1.20172225,0.491279269,1.28277547,0.912361734,-0.114454383,0.669108311,-0.562263696,0.475470841,0.635891982,7,-5.3272033,10.773063,0
